日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2019/10/11 06:00:00,107.94,107.959,107.94,107.955,108.004,108.004,107.999,107.999
2019/10/11 06:01:00,107.955,107.959,107.944,107.959,107.999,108.001,107.987,107.991
2019/10/11 06:02:00,107.959,107.96,107.949,107.95,107.991,107.999,107.979,107.982
2019/10/11 06:03:00,107.95,107.956,107.95,107.956,107.982,107.982,107.979,107.98
2019/10/11 06:04:00,107.956,107.96,107.951,107.951,107.98,107.984,107.978,107.983
2019/10/11 06:05:00,107.951,107.962,107.951,107.961,107.983,107.986,107.983,107.985
2019/10/11 06:06:00,107.961,107.963,107.957,107.961,107.985,107.987,107.981,107.985
2019/10/11 06:07:00,107.961,107.966,107.958,107.964,107.985,107.99,107.982,107.988
2019/10/11 06:08:00,107.964,107.966,107.948,107.949,107.988,107.99,107.972,107.973
2019/10/11 06:09:00,107.949,107.954,107.949,107.951,107.973,107.978,107.973,107.975
2019/10/11 06:10:00,107.951,107.955,107.949,107.955,107.975,107.979,107.973,107.979
2019/10/11 06:11:00,107.955,107.955,107.952,107.952,107.979,107.979,107.976,107.976
2019/10/11 06:12:00,107.952,107.955,107.952,107.955,107.976,107.979,107.976,107.979
2019/10/11 06:13:00,107.955,107.955,107.943,107.946,107.979,107.979,107.969,107.97
2019/10/11 06:14:00,107.946,107.949,107.944,107.947,107.97,107.978,107.969,107.971
2019/10/11 06:15:00,107.947,107.948,107.935,107.945,107.971,107.979,107.964,107.977
2019/10/11 06:16:00,107.945,107.948,107.941,107.943,107.977,107.978,107.967,107.967
2019/10/11 06:17:00,107.943,107.948,107.942,107.944,107.967,107.977,107.967,107.968
2019/10/11 06:18:00,107.944,107.947,107.929,107.935,107.968,107.977,107.959,107.959
2019/10/11 06:19:00,107.935,107.946,107.928,107.944,107.959,107.976,107.958,107.968
2019/10/11 06:20:00,107.944,107.946,107.925,107.926,107.968,107.975,107.949,107.95
2019/10/11 06:21:00,107.926,107.928,107.926,107.926,107.95,107.952,107.95,107.95
2019/10/11 06:22:00,107.926,107.928,107.865,107.883,107.95,107.952,107.909,107.915
2019/10/11 06:23:00,107.883,107.885,107.881,107.883,107.915,107.927,107.915,107.927
2019/10/11 06:24:00,107.883,107.884,107.883,107.884,107.927,107.928,107.927,107.928
2019/10/11 06:25:00,107.884,107.886,107.884,107.885,107.928,107.93,107.928,107.929
2019/10/11 06:26:00,107.885,107.888,107.885,107.887,107.929,107.932,107.929,107.931
2019/10/11 06:27:00,107.887,107.896,107.887,107.893,107.931,107.937,107.928,107.937
2019/10/11 06:28:00,107.893,107.911,107.888,107.89,107.937,107.937,107.931,107.934
2019/10/11 06:29:00,107.89,107.891,107.89,107.89,107.934,107.935,107.934,107.934
2019/10/11 06:30:00,107.89,107.891,107.886,107.886,107.934,107.935,107.93,107.93
2019/10/11 06:31:00,107.886,107.899,107.885,107.885,107.93,107.933,107.92,107.929
