日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2019/10/10 06:00:00,107.468,107.471,107.443,107.454,107.492,107.495,107.486,107.486
2019/10/10 06:01:00,107.454,107.455,107.448,107.454,107.486,107.492,107.485,107.486
2019/10/10 06:02:00,107.454,107.455,107.454,107.454,107.486,107.487,107.486,107.486
2019/10/10 06:03:00,107.454,107.456,107.454,107.456,107.486,107.488,107.486,107.488
2019/10/10 06:04:00,107.456,107.456,107.452,107.454,107.488,107.488,107.484,107.486
2019/10/10 06:05:00,107.454,107.459,107.454,107.455,107.486,107.487,107.482,107.487
2019/10/10 06:06:00,107.455,107.461,107.455,107.46,107.487,107.488,107.483,107.484
2019/10/10 06:07:00,107.46,107.46,107.454,107.456,107.484,107.488,107.483,107.488
2019/10/10 06:08:00,107.456,107.46,107.455,107.455,107.488,107.488,107.484,107.487
2019/10/10 06:09:00,107.455,107.46,107.455,107.455,107.487,107.488,107.483,107.487
2019/10/10 06:10:00,107.455,107.464,107.455,107.462,107.487,107.488,107.483,107.486
2019/10/10 06:11:00,107.462,107.465,107.46,107.462,107.486,107.489,107.484,107.486
2019/10/10 06:12:00,107.462,107.465,107.459,107.463,107.486,107.489,107.483,107.487
2019/10/10 06:13:00,107.463,107.463,107.458,107.46,107.487,107.487,107.482,107.484
2019/10/10 06:14:00,107.46,107.461,107.458,107.46,107.484,107.485,107.482,107.484
2019/10/10 06:15:00,107.46,107.461,107.459,107.461,107.484,107.485,107.483,107.485
2019/10/10 06:16:00,107.461,107.462,107.459,107.461,107.485,107.486,107.483,107.485
2019/10/10 06:17:00,107.461,107.462,107.458,107.46,107.485,107.486,107.482,107.484
2019/10/10 06:18:00,107.46,107.461,107.458,107.461,107.484,107.485,107.482,107.485
2019/10/10 06:19:00,107.461,107.464,107.46,107.463,107.485,107.488,107.484,107.487
2019/10/10 06:20:00,107.463,107.464,107.461,107.463,107.487,107.488,107.485,107.487
2019/10/10 06:21:00,107.463,107.465,107.462,107.465,107.487,107.489,107.486,107.489
2019/10/10 06:22:00,107.465,107.466,107.463,107.465,107.489,107.49,107.487,107.489
2019/10/10 06:23:00,107.465,107.493,107.464,107.484,107.489,107.53,107.488,107.528
2019/10/10 06:24:00,107.484,107.494,107.476,107.484,107.528,107.529,107.508,107.508
2019/10/10 06:25:00,107.484,107.488,107.482,107.486,107.508,107.512,107.506,107.51
2019/10/10 06:26:00,107.486,107.487,107.465,107.47,107.51,107.511,107.497,107.502
2019/10/10 06:27:00,107.47,107.476,107.47,107.475,107.502,107.502,107.499,107.499
2019/10/10 06:28:00,107.475,107.476,107.47,107.476,107.499,107.502,107.499,107.5
2019/10/10 06:29:00,107.476,107.478,107.474,107.474,107.5,107.502,107.498,107.498
2019/10/10 06:30:00,107.474,107.49,107.474,107.486,107.498,107.502,107.487,107.489
2019/10/10 06:31:00,107.486,107.49,107.486,107.486,107.489,107.493,107.489,107.489
2019/10/10 06:32:00,107.486,107.487,107.484,107.484,107.489,107.49,107.487,107.487
2019/10/10 06:33:00,107.484,107.487,107.484,107.487,107.487,107.49,107.487,107.49
2019/10/10 06:34:00,107.487,107.487,107.483,107.484,107.49,107.49,107.486,107.487
2019/10/10 06:35:00,107.484,107.484,107.467,107.47,107.487,107.487,107.473,107.473
2019/10/10 06:36:00,107.47,107.47,107.449,107.465,107.473,107.479,107.46,107.468
2019/10/10 06:37:00,107.465,107.467,107.465,107.466,107.468,107.47,107.468,107.469
2019/10/10 06:38:00,107.466,107.466,107.464,107.465,107.469,107.469,107.467,107.468
2019/10/10 06:39:00,107.465,107.466,107.456,107.458,107.468,107.469,107.459,107.461
2019/10/10 06:40:00,107.458,107.462,107.457,107.462,107.461,107.465,107.46,107.465
2019/10/10 06:41:00,107.462,107.462,107.46,107.46,107.465,107.465,107.463,107.463
2019/10/10 06:42:00,107.46,107.47,107.46,107.469,107.463,107.473,107.463,107.472
2019/10/10 06:43:00,107.469,107.469,107.466,107.466,107.472,107.472,107.469,107.469
2019/10/10 06:44:00,107.466,107.467,107.464,107.467,107.469,107.47,107.467,107.47
2019/10/10 06:45:00,107.467,107.475,107.466,107.475,107.47,107.478,107.469,107.478
2019/10/10 06:46:00,107.475,107.475,107.474,107.474,107.478,107.478,107.477,107.477
2019/10/10 06:47:00,107.474,107.477,107.474,107.475,107.477,107.483,107.477,107.478
2019/10/10 06:48:00,107.475,107.479,107.475,107.475,107.478,107.482,107.478,107.478
2019/10/10 06:49:00,107.475,107.476,107.475,107.476,107.478,107.479,107.478,107.479
2019/10/10 06:50:00,107.476,107.476,107.476,107.476,107.479,107.479,107.479,107.479
2019/10/10 06:51:00,107.476,107.477,107.471,107.471,107.479,107.48,107.474,107.474
2019/10/10 06:52:00,107.471,107.471,107.47,107.47,107.474,107.474,107.473,107.473
2019/10/10 06:53:00,107.47,107.47,107.461,107.467,107.473,107.473,107.464,107.47
2019/10/10 06:54:00,107.467,107.469,107.467,107.469,107.47,107.472,107.47,107.472
2019/10/10 06:55:00,107.469,107.471,107.469,107.47,107.472,107.474,107.472,107.473
2019/10/10 06:56:00,107.47,107.47,107.47,107.47,107.473,107.473,107.473,107.473
2019/10/10 06:57:00,107.47,107.47,107.468,107.469,107.473,107.473,107.471,107.472
2019/10/10 06:58:00,107.469,107.469,107.464,107.464,107.472,107.472,107.467,107.467
2019/10/10 06:59:00,107.464,107.465,107.463,107.464,107.467,107.468,107.466,107.467
2019/10/10 07:00:00,107.464,107.465,107.444,107.451,107.467,107.468,107.45,107.458
2019/10/10 07:01:00,107.451,107.451,107.445,107.448,107.458,107.458,107.448,107.451
2019/10/10 07:02:00,107.448,107.452,107.448,107.45,107.451,107.455,107.451,107.453
2019/10/10 07:03:00,107.45,107.46,107.45,107.46,107.453,107.463,107.453,107.463
2019/10/10 07:04:00,107.46,107.465,107.46,107.464,107.463,107.468,107.463,107.467
2019/10/10 07:05:00,107.464,107.465,107.462,107.463,107.467,107.468,107.465,107.466
2019/10/10 07:06:00,107.463,107.464,107.461,107.462,107.466,107.467,107.464,107.465
